outcome,model,term,estimate,ci_low,ci_high,std_err,p_value,n_obs,n_refits,note
judge_score_pct_mean,ols,Intercept,0.2774232376297901,0.23275779145533412,0.3220886838042461,0.02269788556074644,3.3673549605297877e-28,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Astronaut],0.026854335868769442,-0.04536451535450148,0.09907318709204035,0.03669985102111972,0.4648996959669539,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Athlete],-0.006590174197551603,-0.015647345002182837,0.0024669966070796296,0.004602632326221409,0.15322398800457263,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Beauty Pagent],-0.03345572086635664,-0.06486154956152823,-0.002049892171185043,0.015959672783277506,0.036887752172718745,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Comedian],-0.012261747266648913,-0.031582330421805735,0.007058835888507907,0.0098182470563438,0.21267539401664404,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Con artist],-0.026079336142291083,-0.05690694606998874,0.00474827378540657,0.015665836170475345,0.09700095526894671,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Conservationist],0.004753886852518533,-0.02728015141356073,0.0367879251185978,0.01627891349774243,0.7704656097202328,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Entrepreneur],-0.003373884648917263,-0.034304341303280354,0.02755657200544583,0.01571810035749436,0.8301848761996744,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Fashion Designer],-0.0018908913484157327,-0.062403076291515064,0.0586212935946836,0.030750809999849315,0.9510088956787532,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Fitness Instructor],0.006401449604442187,-0.053423602730804765,0.06622650193968914,0.030401626041467407,0.8333700207430832,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Journalist],-0.005454195498292855,-0.06824259884885497,0.05733420785226926,0.03190752843320064,0.864386943574113,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Magician],-0.05706668428436577,-0.11785691117481886,0.0037235426060873156,0.03089210410620332,0.0656797947422613,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Military],0.007831550801157723,-0.05393226614833709,0.06959536775065253,0.03138685872383093,0.8031300592363642,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Model],-0.026719094732497724,-0.04417121031427,-0.009266979150725444,0.008868737608055736,0.0028075018215865436,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Motivational Speaker],0.02230972105199429,-0.03855285515332797,0.08317229725731655,0.030928870255653274,0.47126670747179117,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Musician],0.03433735146396305,-0.025902611042025556,0.09457731396995166,0.030612473226038234,0.26288730691014806,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.News Anchor],-0.009138967842694787,-0.0445247569972385,0.026246821311848925,0.017982191190242112,0.6116665755852311,421,1,judge_line
